county,cntyname,vtd,Voting District Name,2010 Tract,2010 census pop,alloc factor
42003,Allegheny PA,400,BEN AVON DIST 01,4340,553,1
42003,Allegheny PA,411,BEN AVON DIST 02,4340,1228,1
42003,Allegheny PA,430,BEN AVON HEIGHTS Voting District*,5638,371,1
42003,Allegheny PA,441,BETHEL PARK WD 01 DIST 01,4753.01,698,0.61
,,,,4754.02,447,0.39
42003,Allegheny PA,446,BETHEL PARK WD 01 DIST 02,4753.01,1247,1
42003,Allegheny PA,452,BETHEL PARK WD 01 DIST 03,4753.01,1121,1
42003,Allegheny PA,461,BETHEL PARK WD 02 DIST 01*,4753.04,931,1
42003,Allegheny PA,466,BETHEL PARK WD 02 DIST 02,4753.04,44,0.028
,,,,4754.02,1544,0.972
42003,Allegheny PA,472,BETHEL PARK WD 02 DIST 03,4753.04,716,0.576
,,,,4754.02,527,0.424
42003,Allegheny PA,481,BETHEL PARK WD 03 DIST 01*,4752,409,0.387
,,,,4753.03,647,0.613
42003,Allegheny PA,486,BETHEL PARK WD 03 DIST 02*,4752,830,0.774
,,,,4753.04,243,0.226
42003,Allegheny PA,493,BETHEL PARK WD 03 DIST 03,4753.03,1335,1
42003,Allegheny PA,501,BETHEL PARK WD 04 DIST 01*,4754.01,1584,1
42003,Allegheny PA,511,BETHEL PARK WD 04 DIST 02,4751.02,113,0.099
,,,,4753.01,330,0.289
,,,,4754.01,697,0.611
42003,Allegheny PA,522,BETHEL PARK WD 04 DIST 03*,4751.02,98,0.082
,,,,4753.01,373,0.314
,,,,4754.01,717,0.604
42003,Allegheny PA,530,BETHEL PARK WD 05 DIST 01,4754.01,792,1
42003,Allegheny PA,540,BETHEL PARK WD 05 DIST 02*,4751.01,894,0.992
,,,,4751.02,7,0.008
42003,Allegheny PA,542,BETHEL PARK WD 05 DIST 03,4751.01,1798,1
42003,Allegheny PA,551,BETHEL PARK WD 06 DIST 01,4753.01,656,0.548
,,,,4754.02,542,0.452
42003,Allegheny PA,562,BETHEL PARK WD 06 DIST 02,4753.03,1074,1
42003,Allegheny PA,565,BETHEL PARK WD 06 DIST 03,4753.03,1008,1
42003,Allegheny PA,571,BETHEL PARK WD 07 DIST 01,4752,1510,1
42003,Allegheny PA,576,BETHEL PARK WD 07 DIST 02*,4751.01,129,0.111
,,,,4752,1037,0.889
42003,Allegheny PA,582,BETHEL PARK WD 07 DIST 03,4752,990,1
42003,Allegheny PA,591,BETHEL PARK WD 08 DIST 01,4751.01,746,1
42003,Allegheny PA,596,BETHEL PARK WD 08 DIST 02*,4751.01,725,1
42003,Allegheny PA,602,BETHEL PARK WD 08 DIST 04,4751.01,410,0.785
,,,,4751.02,112,0.215
42003,Allegheny PA,603,BETHEL PARK WD 08 DIST 03,4751.02,1335,1
42003,Allegheny PA,623,BETHEL PARK WD 09 DIST 01,4752,67,0.075
,,,,4753.04,822,0.925
42003,Allegheny PA,624,BETHEL PARK WD 09 DIST 03*,4752,76,0.042
,,,,4753.04,1742,0.958
42003,Allegheny PA,625,BETHEL PARK WD 09 DIST 02*,4753.04,1190,1
42003,Allegheny PA,631,BLAWNOX DIST 01*,4200,1432,1
42003,Allegheny PA,650,BRACKENRIDGE WD 01*,4020,895,1
42003,Allegheny PA,660,BRACKENRIDGE WD 02*,4020,1235,1
42003,Allegheny PA,670,BRACKENRIDGE WD 03*,4020,1130,1
42003,Allegheny PA,711,BRADDOCK WD 01*,5138,808,1
42003,Allegheny PA,720,BRADDOCK WD 02*,5138,649,1
42003,Allegheny PA,721,BRADDOCK WD 03*,5138,702,1
42003,Allegheny PA,750,BRADDOCK HILLS DIST 01*,5170,1188,1
42003,Allegheny PA,760,BRADDOCK HILLS DIST 02*,5170,692,1
42003,Allegheny PA,770,BRADFORD WOODS Voting District*,4100,1171,1
42003,Allegheny PA,781,BRENTWOOD DIST 01*,4782,748,1
42003,Allegheny PA,791,BRENTWOOD DIST 02,4781,1093,1
42003,Allegheny PA,801,BRENTWOOD DIST 03*,4782,931,1
42003,Allegheny PA,811,BRENTWOOD DIST 04*,4782,1225,1
42003,Allegheny PA,821,BRENTWOOD DIST 05*,4782,1132,1
