"county","vtd","tract","bg","cntyname","vtdname","pop10","afact","AFACT2"
"county","vtd","2010 Tract","bg","cntyname","Voting District Name","Total Pop, 2010 census","vtd to bg alloc factor","bg to vtd alloc factor"
"42001","427","0309.00","1","Adams PA","OXFORD TWP DIST 02*",639,0.231,0.365 
"42001","427","0309.00","2","Adams PA","OXFORD TWP DIST 02*",1140,0.413,0.63 
"42001","427","0309.00","3","Adams PA","OXFORD TWP DIST 02*",984,0.356,0.348 
"42001","430","0301.02","1","Adams PA","READING TWP VTD 01*",526,0.178,0.463 
"42001","430","0301.02","2","Adams PA","READING TWP VTD 01*",2434,0.822,1 
"42001","435","0301.02","1","Adams PA","READING TWP VTD 02*",610,0.216,0.537 
"42001","435","0301.02","3","Adams PA","READING TWP VTD 02*",2210,0.784,1 
"42001","440","0306.00","1","Adams PA","STRABAN TWP VTD 01*",155,0.067,0.107 
"42001","440","0306.00","3","Adams PA","STRABAN TWP VTD 01*",2163,0.933,1 
"42001","450","0306.00","1","Adams PA","STRABAN TWP VTD 02*",1300,0.498,0.893 
"42001","450","0306.00","2","Adams PA","STRABAN TWP VTD 02*",1310,0.502,1 
"42001","460","0302.00","2","Adams PA","TYRONE TWP Voting District*",2298,1,1 
"42001","480","0312.03","1","Adams PA","UNION TWP Voting District*",3148,1,1 
"42001","490","0302.00","1","Adams PA","YORK SPRINGS Voting District*",833,1,0.26 
"42001","80A","0316.00","3","Adams PA","4200180A",2114,1,0.648 
"42003","10","5638.00","2","Allegheny PA","ALEPPO TWP Voting District*",1916,1,1 
"42003","21","4230.00","1","Allegheny PA","ASPINWALL DIST 01*",200,0.19,0.209 
"42003","21","4230.00","2","Allegheny PA","ASPINWALL DIST 01*",3,0.003,0.003 
"42003","21","4230.00","3","Allegheny PA","ASPINWALL DIST 01*",847,0.807,1 
"42003","31","4230.00","1","Allegheny PA","ASPINWALL DIST 02*",758,1,0.791 
"42003","50","4230.00","2","Allegheny PA","ASPINWALL DIST 04*",993,1,0.997 
"42003","61","4323.00","1","Allegheny PA","AVALON WD 01*",331,0.213,0.298 
"42003","61","4323.00","2","Allegheny PA","AVALON WD 01*",155,0.1,0.154 
"42003","61","4324.00","2","Allegheny PA","AVALON WD 01*",606,0.39,0.748 
"42003","61","4324.00","3","Allegheny PA","AVALON WD 01*",462,0.297,0.597 
"42003","81","4324.00","1","Allegheny PA","AVALON WD 02 DIST 01*",391,0.431,0.391 
"42003","81","4324.00","2","Allegheny PA","AVALON WD 02 DIST 01*",204,0.225,0.252 
"42003","81","4324.00","3","Allegheny PA","AVALON WD 02 DIST 01*",312,0.344,0.403 
"42003","91","4324.00","1","Allegheny PA","AVALON WD 02 DIST 02*",609,1,0.609 
"42003","101","4323.00","1","Allegheny PA","AVALON WD 03 DIST 01",488,1,0.439 
"42003","111","4323.00","1","Allegheny PA","AVALON WD 03 DIST 02",293,0.475,0.263 
"42003","111","4323.00","2","Allegheny PA","AVALON WD 03 DIST 02",324,0.525,0.321 
"42003","121","4323.00","2","Allegheny PA","AVALON WD 03 DIST 03*",530,1,0.525 
"42003","130","4790.00","1","Allegheny PA","BALDWIN TWP DIST 01",56,0.055,0.067 
"42003","130","4790.00","2","Allegheny PA","BALDWIN TWP DIST 01",960,0.945,0.833 
"42003","140","4790.00","1","Allegheny PA","BALDWIN TWP DIST 02",784,0.803,0.933 
"42003","140","4790.00","2","Allegheny PA","BALDWIN TWP DIST 02",192,0.197,0.167 
"42003","151","4803.00","1","Allegheny PA","BALDWIN DIST 01*",696,0.832,1 
"42003","151","4803.00","4","Allegheny PA","BALDWIN DIST 01*",141,0.168,0.178 
"42003","161","4803.00","2","Allegheny PA","BALDWIN DIST 02*",974,0.808,0.709 
"42003","161","4803.00","4","Allegheny PA","BALDWIN DIST 02*",231,0.192,0.292 
"42003","171","4803.00","2","Allegheny PA","BALDWIN DIST 03*",198,0.164,0.144 
"42003","171","4803.00","3","Allegheny PA","BALDWIN DIST 03*",293,0.243,0.529 
"42003","171","4804.00","1","Allegheny PA","BALDWIN DIST 03*",169,0.14,0.129 
"42003","171","4804.00","3","Allegheny PA","BALDWIN DIST 03*",548,0.454,0.352 
"42003","181","4804.00","3","Allegheny PA","BALDWIN DIST 04*",1010,1,0.648 
"42003","191","4802.00","2","Allegheny PA","BALDWIN DIST 05*",384,0.335,0.562 
"42003","191","4802.00","3","Allegheny PA","BALDWIN DIST 05*",762,0.665,1 
"42003","201","4801.01","2","Allegheny PA","BALDWIN DIST 06*",209,0.189,0.207 
"42003","201","4801.02","3","Allegheny PA","BALDWIN DIST 06*",895,0.811,1 
"42003","211","4801.01","1","Allegheny PA","BALDWIN DIST 07*",376,0.32,0.512 
"42003","211","4801.01","2","Allegheny PA","BALDWIN DIST 07*",799,0.68,0.793 
"42003","221","4801.02","1","Allegheny PA","BALDWIN DIST 08*",574,0.605,0.534 
"42003","221","4801.02","2","Allegheny PA","BALDWIN DIST 08*",375,0.395,0.33 
"42003","225","4801.01","3","Allegheny PA","BALDWIN DIST 10*",655,0.311,0.667 
"42003","225","4801.01","4","Allegheny PA","BALDWIN DIST 10*",1454,0.689,0.688 
"42003","231","4802.00","1","Allegheny PA","BALDWIN DIST 09*",943,1,0.476 
"42003","235","4801.01","3","Allegheny PA","BALDWIN DIST 11*",327,0.332,0.333 
"42003","235","4801.01","4","Allegheny PA","BALDWIN DIST 11*",659,0.668,0.312 
"42003","261","4803.00","2","Allegheny PA","BALDWIN DIST 12*",202,0.229,0.147 
"42003","261","4803.00","3","Allegheny PA","BALDWIN DIST 12*",261,0.296,0.471 
"42003","261","4803.00","4","Allegheny PA","BALDWIN DIST 12*",419,0.475,0.53 
"42003","271","4804.00","2","Allegheny PA","BALDWIN DIST 13*",933,1,0.893 
"42003","281","4801.02","2","Allegheny PA","BALDWIN DIST 14*",763,1,0.67 
"42003","291","4804.00","4","Allegheny PA","BALDWIN DIST 15*",1071,1,1 
"42003","295","4804.00","1","Allegheny PA","BALDWIN DIST 16*",1137,0.91,0.871 
"42003","295","4804.00","2","Allegheny PA","BALDWIN DIST 16*",112,0.09,0.107 
"42003","301","4801.01","1","Allegheny PA","BALDWIN DIST 17*",358,0.417,0.488 
"42003","301","4801.02","1","Allegheny PA","BALDWIN DIST 17*",500,0.583,0.466 
"42003","305","4802.00","1","Allegheny PA","BALDWIN DIST 18*",1040,0.777,0.524 
"42003","305","4802.00","2","Allegheny PA","BALDWIN DIST 18*",299,0.223,0.438 
"42003","310","4390.00","1","Allegheny PA","BELL ACRES Voting District*",1388,1,1 
"42003","321","4311.00","1","Allegheny PA","BELLEVUE WD 01 DIST 01",524,0.366,0.313 
"42003","321","4311.00","2","Allegheny PA","BELLEVUE WD 01 DIST 01",908,0.634,0.532 
"42003","331","4311.00","1","Allegheny PA","BELLEVUE WD 01 DIST 02*",938,0.718,0.56 
"42003","331","4311.00","2","Allegheny PA","BELLEVUE WD 01 DIST 02*",369,0.282,0.216 
