"county","vtd","cntyname","vtdname","pop10","afact","AFACT2"
"county","vtd","cntyname","Voting District Name","Total Pop, 2010 census","vtd to vtd alloc factor","vtd to vtd alloc factor"
"42003","411","Allegheny PA","BEN AVON DIST 02",1228,1,1 
"42003","430","Allegheny PA","BEN AVON HEIGHTS Voting District*",371,1,1 
"42003","441","Allegheny PA","BETHEL PARK WD 01 DIST 01",1145,1,1 
"42003","446","Allegheny PA","BETHEL PARK WD 01 DIST 02",1247,1,1 
"42003","452","Allegheny PA","BETHEL PARK WD 01 DIST 03",1121,1,1 
"42003","461","Allegheny PA","BETHEL PARK WD 02 DIST 01*",931,1,1 
"42003","466","Allegheny PA","BETHEL PARK WD 02 DIST 02",1588,1,1 
"42003","472","Allegheny PA","BETHEL PARK WD 02 DIST 03",1243,1,1 
"42003","481","Allegheny PA","BETHEL PARK WD 03 DIST 01*",1056,1,1 
"42003","486","Allegheny PA","BETHEL PARK WD 03 DIST 02*",1073,1,1 
"42003","493","Allegheny PA","BETHEL PARK WD 03 DIST 03",1335,1,1 
"42003","501","Allegheny PA","BETHEL PARK WD 04 DIST 01*",1584,1,1 
"42003","511","Allegheny PA","BETHEL PARK WD 04 DIST 02",1140,1,1 
"42003","522","Allegheny PA","BETHEL PARK WD 04 DIST 03*",1188,1,1 
"42003","530","Allegheny PA","BETHEL PARK WD 05 DIST 01",792,1,1 
"42003","540","Allegheny PA","BETHEL PARK WD 05 DIST 02*",901,1,1 
"42003","542","Allegheny PA","BETHEL PARK WD 05 DIST 03",1798,1,1 
"42003","551","Allegheny PA","BETHEL PARK WD 06 DIST 01",1198,1,1 
"42003","562","Allegheny PA","BETHEL PARK WD 06 DIST 02",1074,1,1 
"42003","565","Allegheny PA","BETHEL PARK WD 06 DIST 03",1008,1,1 
"42003","571","Allegheny PA","BETHEL PARK WD 07 DIST 01",1510,1,1 
"42003","576","Allegheny PA","BETHEL PARK WD 07 DIST 02*",1166,1,1 
"42003","582","Allegheny PA","BETHEL PARK WD 07 DIST 03",990,1,1 
"42003","591","Allegheny PA","BETHEL PARK WD 08 DIST 01",746,1,1 
"42003","596","Allegheny PA","BETHEL PARK WD 08 DIST 02*",725,1,1 
"42003","602","Allegheny PA","BETHEL PARK WD 08 DIST 04",522,1,1 
"42003","603","Allegheny PA","BETHEL PARK WD 08 DIST 03",1335,1,1 
"42003","623","Allegheny PA","BETHEL PARK WD 09 DIST 01",889,1,1 
"42003","624","Allegheny PA","BETHEL PARK WD 09 DIST 03*",1818,1,1 
"42003","625","Allegheny PA","BETHEL PARK WD 09 DIST 02*",1190,1,1 
"42003","631","Allegheny PA","BLAWNOX DIST 01*",1432,1,1 
"42003","650","Allegheny PA","BRACKENRIDGE WD 01*",895,1,1 
"42003","660","Allegheny PA","BRACKENRIDGE WD 02*",1235,1,1 
"42003","670","Allegheny PA","BRACKENRIDGE WD 03*",1130,1,1 
"42003","711","Allegheny PA","BRADDOCK WD 01*",808,1,1 
"42003","720","Allegheny PA","BRADDOCK WD 02*",649,1,1 
"42003","721","Allegheny PA","BRADDOCK WD 03*",702,1,1 
"42003","750","Allegheny PA","BRADDOCK HILLS DIST 01*",1188,1,1 
"42003","760","Allegheny PA","BRADDOCK HILLS DIST 02*",692,1,1 
"42003","770","Allegheny PA","BRADFORD WOODS Voting District*",1171,1,1 
"42003","781","Allegheny PA","BRENTWOOD DIST 01*",748,1,1 
"42003","791","Allegheny PA","BRENTWOOD DIST 02",1093,1,1 
